determinantOfA,traceOfA,countOfA,eigenvalue,determinantOfA_inverse,traceOfA_inverse,countOfA_inverse,eigenvalue_inverse
0.629125310262547,1.7280995425322,12,1.2068,1.58950845513222,2.74682883416505,12,1.91814
0.318660756199164,1.17924076543039,14,0.75984,3.13813351831437,3.70061497215981,18,2.38459
0.777270167450885,1.92809961719491,12,1.3541,1.28655394465939,2.48060416819837,12,1.74206
-0.252627738005944,1.09905328687016,6,1.29424,-3.95839351566561,-4.35048540411782,0,0
-0.320775638567179,1.38125370901918,7,1.58379,-3.11744372006159,-4.30598070099362,0,0
0.582133552452957,1.58973394691414,19,1.01772,1.71781886782898,2.73087496883734,14,1.74827
-0.296883026591047,1.07096217439194,7,1.29944,-3.36832998330177,-3.60735400298644,0,0
-0.0999999642685692,0.687310736554977,6,0.81066,-10.0000035731444,-6.87310982141025,0,0
0.223549690395666,1.10038081328818,9,0.83157,4.47327839385542,4.92230971709508,7,3.71971
-0.277380794946258,0.729274703478726,9,1.00522,-3.60515226078918,-2.62914634598268,0,0
0.0568000668582833,1.23394426079346,5,1.18605,17.6056130795587,21.7243452172717,5,20.88121
-0.0974540608058747,0.833185614665643,6,0.93717,-10.2612450597822,-8.54952177236946,0,0
0.273844724896103,1.38906750771175,8,1.15119,3.65170444812987,5.07246399666365,8,4.20378
0.307126876223472,1.15346205595598,14,0.73635,3.25598336523431,3.75565326662165,19,2.39762
0.0155853680588804,1.18355589800722,3,1.17024,64.1627452250132,75.9401955433986,5,75.08567
0.396126141147371,1.45034378196234,10,1.08537,2.52444839187719,3.66131802804392,11,2.73997
-0.401438198636496,1.02952769536448,8,1.33111,-2.49104346172474,-2.56459823420222,0,0
-0.178528827759106,0.403576184530589,13,0.67003,-5.60133628026352,-2.26056592426151,0,0
0.0586875752379094,1.16426859205363,4,1.11146,17.0393817762307,19.8384170300763,6,18.9387
-0.0616325341961625,0.669884099333937,6,0.75185,-16.2251968549147,-10.8690013816704,0,0
-0.292938628696834,0.901383115354136,8,1.15502,-3.41368430803612,-3.07703739641313,0,0
0.474878178976847,1.67092275810831,9,1.30781,2.10580322337522,3.51863453003549,10,2.75399
-0.0225466085652064,0.434395965641964,5,0.48124,-44.3525684631428,-19.2665768062482,0,0
-0.658796620138007,0.660703761482703,15,1.20667,-1.51791914140439,-1.00289488635248,0,0
0.186176616716779,0.905946305271074,14,0.59088,5.37124380942666,4.86605848386021,21,3.17353
-0.161474572851471,0.690715443699455,8,0.87522,-6.19292550115508,-4.27754928532801,0,0
-0.0499565927453172,0.819727827976563,5,0.87671,-20.0173779884886,-16.4088017802896,0,0
-0.279302505164317,0.77303588113694,8,1.04126,-3.58034740652142,-2.76773701217665,0,0
0.0499205304242405,1.05479394620637,5,1.00513,20.0318384340407,21.1294619116102,5,20.13456
0.160439139605913,0.981020705035503,8,0.77365,6.23289306123371,6.11459714534239,10,4.82199
0.0781886964025941,0.881563234892087,6,0.78152,12.789572483099,11.2748168910876,5,9.99525
0.25339467473167,1.21708586975233,9,0.9505,3.94641284809533,4.80312331362587,11,3.75103
-0.10851024806713,1.17051799728018,5,1.25685,-9.21571941648631,-10.7871654348816,0,0
-0.0136499444465023,0.317915587011516,6,0.35623,-73.2603714190384,-23.2906139843653,0,0
-0.192748404858353,1.01424700586382,6,1.17788,-5.18811038013457,-5.26202541914247,0,0
0.219506099222102,1.36628065758895,6,1.1803,4.55568206780521,6.22434029136708,8,5.3771
0.0313249022618383,0.525126968587107,5,0.4565,31.9234834842009,16.763882108799,9,14.57334
-0.0909924506439553,0.233562218608159,14,0.44024,-10.9899227125215,-2.56683073106873,0,0
-0.0221058679559307,1.3919687483153,4,1.40767,-45.2368575616916,-62.9682919978653,0,0
-0.294786656736261,0.448922165115165,14,0.81199,-3.39228379965202,-1.52287138802488,0,0
0.220956806339428,1.18416421390925,7,0.95208,4.52577142368643,5.3592565602626,10,4.30893
-0.0321020151914228,1.05258906539819,4,1.08225,-31.15069237981,-32.7888781785708,0,0
0.18910480967799,0.928367166300537,10,0.62651,5.28807279784586,4.90927315852711,17,3.31318
0.138110890601281,0.990184069660663,3,0.8222,7.24055862391725,7.169485804847,13,5.95325
-0.181268665577825,1.1000391813874,6,1.24557,-5.51667325851563,-6.06855673527928,0,0
-0.117307899057626,0.735963907318889,6,0.87069,-8.52457513972492,-6.27377962806542,0,0
0.362038423993195,1.31239399409501,11,0.91799,2.76213775590515,3.62501300171298,13,2.53569
0.529835162177125,1.55594011375978,13,1.05253,1.8873794556989,2.93664940500801,14,1.98655
-0.0456061748585764,0.79314110441973,5,0.84699,-21.926855367743,-17.3910902828233,0,0
-0.0134423284361386,1.30334007226458,4,1.31357,-74.3918737554118,-96.9579101162756,0,0
0.0360372108051511,1.17714371899315,4,1.14569,27.7490953838487,32.6646733388392,5,31.79184
-0.62955692755527,0.900883446475305,12,1.36284,-1.58841870564947,-1.43098011799134,0,0
0.0655643224921404,0.923721416280718,6,0.84625,15.2521975670515,14.0887815380301,7,12.90709
-0.102884128864238,0.66568763808464,7,0.79509,-9.71967213057287,-6.47026558355815,0,0
0.0595696949945311,0.661620465076298,7,0.55412,16.7870592604479,11.1066619551609,8,9.30198
-0.339747967235148,0.495918606774549,14,0.8814,-2.94335830214953,-1.4596661484403,0,0
-0.329432473933592,1.01600019212049,7,1.27449,-3.03552345055571,-3.08409240895086,0,0
-0.175478236866127,0.520276443692912,10,0.75323,-5.69871237515855,-2.96490580817628,0,0
-0.0869253571027909,0.720260740237889,6,0.82556,-11.5041230008118,-8.28596814835246,0,0
